 1-0-19, CARDSTAT, CSP, POWER SUPPLY OVERCURRENT TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-20, CARDSTAT, CSP, LOW BATTERY CUTOUT, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-21, CARDSTAT, CSP, IDNAC 1 OVERCURRENT TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-22, CARDSTAT, CSP, IDNAC 2 OVERCURRENT TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-23, CARDSTAT, CSP, IDNAC 3 OVERCURRENT TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-24, CARDSTAT, CSP, CITY CIRCUIT1 TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-25, CARDSTAT, CSP, CITY CIRCUIT2 TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-26, CARDSTAT, CSP, CONFIG CITY/AUX RELAY MODULE INSTALLED, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-27, CARDSTAT, CSP, POSITIVE EARTH ON RUI, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-28, CARDSTAT, CSP, NEGATIVE EARTH ON RUI, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-29, CARDSTAT, CSP, BROADCAST FAILURE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-30, CARDSTAT, CSP, SYSTEM VOLTAGE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-31, CARDSTAT, CSP, SYSTEM CURRENT, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-32, CARDSTAT, CSP, IDNAC 1 CURRENT, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-33, CARDSTAT, CSP, IDNAC 2 CURRENT, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-34, CARDSTAT, CSP, IDNAC 3 CURRENT, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-35, CARDSTAT, CSP, BATTERY CHARGER CURRENT, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-36, CARDSTAT, CSP, BATTERY CHARGER VOLTAGE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-0-37, CARDSTAT, CSP, BATTERY VOLTAGE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 SIG4-1, 716, 291, N2-L23-001-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG4-2, 716, 291, N2-L21-002-SIRENE-PN, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG4-3, 716, 291, N2-L21-003-SIRENE-PN, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG4-4, 716, 291, N2-L21-004-SIRENE-PN, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG4-5, 716, 291, N2-L21-005-SIRENE-PN, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG4-6, 716, 291, N2-L21-006-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG4-7, 716, 291, N2-L21-007-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG5-1, 716, 291, N2-L22-001-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG5-2, 716, 291, N2-L22-002-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG5-3, 716, 291, N2-L22-003-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG5-4, 716, 291, N2-L22-004-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG5-5, 716, 291, N2-L22-005-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG5-6, 716, 291, N2-L22-006-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG5-7, 716, 291, N2-L22-007-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG5-8, 716, 291, N2-L22-008-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG5-9, 716, 291, N2-L22-009-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG5-10, 716, 291, N2-L22-010-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG5-11, 716, 291, N2-L22-011-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-1, 716, 291, N2-L23-001-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-2, 716, 291, N2-L23-002-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-3, 716, 291, N2-L23-003-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-4, 716, 291, N2-L23-004-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-5, 716, 291, N2-L23-005-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-6, 716, 291, N2-L23-006-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-7, 716, 291, N2-L23-007-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-8, 716, 291, N2-L23-008-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-9, 716, 291, N2-L23-009-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-10, 716, 291, N2-L23-010-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-11, 716, 291, N2-L23-011-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-12, 716, 291, N2-L23-012-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-13, 716, 291, N2-L23-013-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-14, 716, 291, N2-L23-014-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-15, 716, 291, N2-L23-015-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-16, 716, 291, N2-L23-016-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 SIG6-17, 716, 291, N2-L23-017-SIRENE, 5, 10, 0, 0, 2, 1, 1,  , 0, 0, 0, 0
 AUX3, AUXPWR, AUXPWR, AUX RELAY CARD 1 RELAY CKT AUX3, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-5, SPECOUT, SPECOUT, CITY FIRE/OPT RELAY 1, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-6, SPECOUT, SPECOUT, CITY PRI2, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-7, SPECOUT, SPECOUT, CITY SUPV/OPT RELAY 2, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-8, SPECOUT, SPECOUT, CITY TBL/OPT RELAY 3, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 1-9, SPECOUT, SPECOUT, CITY AC FAIL, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 SIG3, UNUSED, , SIGNAL CARD 1 CIRCUIT SIG3, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-0, CARDSTAT, CSP, CARD MONITOR, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-1, CARDSTAT, CSP, CARD VERIFICATION, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-2, CARDSTAT, CSP, EXTRA DEVICE TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-3, CARDSTAT, CSP, IDNAC 1 CONTROLLER FAILURE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-4, CARDSTAT, CSP, IDNAC 2 CONTROLLER FAILURE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-5, CARDSTAT, CSP, IDNAC 3 CONTROLLER FAILURE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-6, CARDSTAT, CSP, IDNAC 1 COMMUNICATIONS FAILURE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-7, CARDSTAT, CSP, IDNAC 2 COMMUNICATIONS FAILURE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-8, CARDSTAT, CSP, IDNAC 3 COMMUNICATIONS FAILURE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-9, CARDSTAT, CSP, POSITIVE EARTH, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-10, CARDSTAT, CSP, NEGATIVE EARTH, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-11, CARDSTAT, CSP, AC FAILURE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-12, CARDSTAT, CSP, BATTERY LOW, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-13, CARDSTAT, CSP, DEPLETED/MISSING BATTERY, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-14, CARDSTAT, CSP, IDNAC 1 SHORT CIRCUIT TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-15, CARDSTAT, CSP, IDNAC 2 SHORT CIRCUIT TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-16, CARDSTAT, CSP, IDNAC 3 SHORT CIRCUIT TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-17, CARDSTAT, CSP, HW CONFIG/SW REV MISMATCH TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-18, CARDSTAT, CSP, BATTERY CHARGER TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-19, CARDSTAT, CSP, POWER SUPPLY OVERCURRENT TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-20, CARDSTAT, CSP, LOW BATTERY CUTOUT, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-21, CARDSTAT, CSP, IDNAC 1 OVERCURRENT TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-22, CARDSTAT, CSP, IDNAC 2 OVERCURRENT TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-23, CARDSTAT, CSP, IDNAC 3 OVERCURRENT TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-24, CARDSTAT, CSP, CITY CIRCUIT1 TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-25, CARDSTAT, CSP, CITY CIRCUIT2 TROUBLE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-26, CARDSTAT, CSP, CONFIG CITY/AUX RELAY MODULE INSTALLED, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-27, CARDSTAT, CSP, POSITIVE EARTH ON RUI, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-28, CARDSTAT, CSP, NEGATIVE EARTH ON RUI, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-29, CARDSTAT, CSP, BROADCAST FAILURE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-30, CARDSTAT, CSP, SYSTEM VOLTAGE, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-31, CARDSTAT, CSP, SYSTEM CURRENT, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-32, CARDSTAT, CSP, IDNAC 1 CURRENT, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
 2-0-33, CARDSTAT, CSP, IDNAC 2 CURRENT, N/A, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
